#number of points averaged per size parameter = 4999
#   x        qext          qsca q         back            gsca           qp180
0.3250  -0.241325362    0.030722595    0.042718678    0.033694840    0.110649652
0.3260  -0.242933200    0.031131076    0.043289489    0.033649130    0.110656888
0.3270  -0.244548384    0.031543917    0.043866786    0.033599648    0.110665011
0.3280  -0.246170901    0.031961152    0.044450639    0.033546360    0.110674029
0.3290  -0.247800733    0.032382820    0.045041119    0.033489229    0.110683949
0.3300  -0.249437864    0.032808958    0.045638298    0.033428219    0.110694781
0.3310  -0.251082276    0.033239603    0.046242248    0.033363294    0.110706533
0.3320  -0.252733947    0.033674793    0.046853042    0.033294418    0.110719213
0.3330  -0.254392859    0.034114568    0.047470754    0.033221557    0.110732830
0.3340  -0.256058989    0.034558964    0.048095460    0.033144674    0.110747391
0.3350  -0.257732313    0.035008021    0.048727234    0.033063734    0.110762905
0.3360  -0.259412808    0.035461777    0.049366154    0.032978701    0.110779380
0.3370  -0.261100448    0.035920273    0.050012297    0.032889541    0.110796825
0.3380  -0.262795206    0.036383546    0.050665743    0.032796219    0.110815248
0.3390  -0.264497054    0.036851638    0.051326570    0.032698699    0.110834656
0.3400  -0.266205962    0.037324588    0.051994859    0.032596947    0.110855058
0.3410  -0.267921900    0.037802437    0.052670691    0.032490929    0.110876461
0.3420  -0.269644835    0.038285225    0.053354150    0.032380609    0.110898875
0.3430  -0.271374735    0.038772992    0.054045317    0.032265955    0.110922306
0.3440  -0.273111564    0.039265780    0.054744278    0.032146931    0.110946762
0.3450  -0.274855286    0.039763631    0.055451118    0.032023505    0.110972253
0.3460  -0.276605865    0.040266586    0.056165922    0.031895642    0.110998784
0.3470  -0.278363260    0.040774687    0.056888780    0.031763309    0.111026364
0.3480  -0.280127431    0.041287976    0.057619778    0.031626474    0.111055001
0.3490  -0.281898337    0.041806496    0.058359006    0.031485103    0.111084702
0.3500  -0.283675935    0.042330289    0.059106555    0.031339163    0.111115475
0.3510  -0.285460178    0.042859399    0.059862515    0.031188623    0.111147327
0.3520  -0.287251023    0.043393869    0.060626981    0.031033451    0.111180265
0.3530  -0.289048419    0.043933742    0.061400044    0.030873614    0.111214298
0.3540  -0.290852320    0.044479063    0.062181801    0.030709081    0.111249432
0.3550  -0.292662672    0.045029875    0.062972345    0.030539821    0.111285674
0.3560  -0.294479424    0.045586224    0.063771776    0.030365803    0.111323032
0.3570  -0.296302523    0.046148154    0.064580189    0.030186996    0.111361512
0.3580  -0.298131912    0.046715709    0.065397685    0.030003371    0.111401122
0.3590  -0.299967535    0.047288936    0.066224364    0.029814897    0.111441868
0.3600  -0.301809332    0.047867880    0.067060326    0.029621545    0.111483758
0.3610  -0.303657243    0.048452587    0.067905675    0.029423286    0.111526797
0.3620  -0.305511207    0.049043104    0.068760513    0.029220091    0.111570993
0.3630  -0.307371159    0.049639475    0.069624946    0.029011931    0.111616353
0.3640  -0.309237034    0.050241750    0.070499080    0.028798779    0.111662881
0.3650  -0.311108766    0.050849974    0.071383022    0.028580608    0.111710585
0.3660  -0.312986285    0.051464195    0.072276879    0.028357389    0.111759471
0.3670  -0.314869520    0.052084462    0.073180762    0.028129096    0.111809545
0.3680  -0.316758401    0.052710820    0.074094780    0.027895703    0.111860814
0.3690  -0.318652852    0.053343321    0.075019047    0.027657185    0.111913282
0.3700  -0.320552798    0.053982010    0.075953674    0.027413515    0.111966956
0.3710  -0.322458162    0.054626939    0.076898777    0.027164669    0.112021841
0.3720  -0.324368864    0.055278155    0.077854471    0.026910622    0.112077943
0.3730  -0.326284824    0.055935709    0.078820872    0.026651352    0.112135268
0.3740  -0.328205958    0.056599650    0.079798098    0.026386833    0.112193820
0.3750  -0.330132182    0.057270028    0.080786270    0.026117044    0.112253605
0.3760  -0.332063410    0.057946894    0.081785506    0.025841962    0.112314628
0.3770  -0.333999553    0.058630298    0.082795930    0.025561565    0.112376893
0.3780  -0.335940521    0.059320292    0.083817663    0.025275832    0.112440406
0.3790  -0.337886222    0.060016926    0.084850831    0.024984742    0.112505172
0.3800  -0.339836563    0.060720253    0.085895559    0.024688276    0.112571194
0.3810  -0.341791448    0.061430325    0.086951973    0.024386413    0.112638476
